,City,Country,Longitude,Latitude,Max. Temperature (C),Humidity (%),Wind Speed (m/s),Cloudiness (%)
335,Uyuni,BO,-66.82,-20.46,8.26,26,3.19,48
336,Zlobin,HR,14.65,45.29,12.78,66,4.6,40
337,Coquimbo,CL,-71.34,-29.95,12.0,93,0.5,0
338,Belmonte,PT,-7.35,40.36,11.11,78,2.51,100
339,Sibolga,ID,98.78,1.74,26.95,85,1.93,84
340,Petropavlovsk-Kamchatskiy,RU,158.65,53.05,2.0,74,2.0,40
341,Pangnirtung,CA,-65.72,66.15,-7.6,65,3.68,100
342,Sinnamary,GF,-52.96,5.38,27.49,82,5.15,22
343,Sao Pedro do Sul,BR,-54.18,-29.62,18.58,98,2.89,100
344,Clyde River,CA,-68.59,70.47,-9.0,92,15.9,90
345,Torbay,CA,-52.73,47.66,0.0,58,3.1,20
346,Sabang,PH,121.11,13.8,29.44,80,0.89,85
347,Shimoda,JP,138.93,34.7,19.0,52,2.6,20
348,Hamilton,CA,-79.87,43.26,4.0,74,5.1,75
349,Yarim,YE,44.38,14.3,15.73,25,2.34,0
350,Cam Ranh,VN,109.15,11.92,23.0,94,3.6,90
351,Balkhash,KZ,74.98,46.84,5.0,45,5.0,20
352,Abasolo,MX,-101.53,20.45,15.0,72,5.7,40
353,Jiangkou,CN,117.56,30.7,23.05,32,3.55,24
354,Koping,SE,15.99,59.51,-0.57,80,7.2,100
355,Necochea,AR,-58.74,-38.55,4.44,88,0.45,0
356,Setermoen,NO,18.35,68.86,-29.0,82,2.6,0
357,Tilichiki,RU,166.1,60.47,-0.89,96,5.26,100
358,West Plains,US,-91.85,36.73,9.0,75,2.6,1
359,Felipe Carrillo Puerto,MX,-88.05,19.58,22.32,99,1.76,10
360,Bintulu,MY,113.03,3.17,32.0,70,2.6,75
361,Javanrud,IR,46.49,34.8,8.0,45,2.68,0
362,Talavera,PE,-73.43,-13.65,10.07,80,1.62,100
363,Luderitz,NA,15.16,-26.65,18.0,72,2.6,20
364,Vesele,UA,34.92,47.02,11.15,84,6.03,3
365,Poum,MK,20.71,41.28,10.0,87,1.0,75
366,Anito,PH,125.29,12.45,28.67,75,7.27,37
367,Codrington,AU,153.24,-28.95,24.0,33,5.1,90
368,Walker,US,-85.77,43.01,7.0,65,3.1,90
369,Ampanihy,MG,44.75,-24.69,22.86,68,4.85,48
370,Krutinka,RU,71.51,56.01,-6.85,47,2.19,13
371,Nizhniy Ingash,RU,96.53,56.2,-9.7,55,4.3,100
372,Doha,QA,51.53,25.29,31.0,52,2.1,75
373,Salalah,OM,54.1,17.01,28.0,58,4.1,20
374,Alice Springs,AU,133.88,-23.7,31.0,6,3.1,0
375,Tonstad,NO,6.71,58.66,1.11,92,0.5,75
376,Hambantota,LK,81.12,6.12,28.0,94,1.5,75
377,Broome,GB,1.45,52.47,5.0,93,0.5,25
378,Lebu,ET,38.73,8.96,18.0,45,2.1,4
379,Green Valley,US,-89.64,40.41,6.67,80,1.5,90
380,Huilong,CN,106.5,31.15,20.06,58,1.25,97
381,Mehamn,NO,27.85,71.03,-7.8,88,4.16,20
382,Beringovskiy,RU,179.32,63.05,1.89,99,5.29,100
383,Isangel,VU,169.27,-19.55,28.0,61,4.1,75
384,Visby,SE,18.3,57.64,6.67,93,6.7,100
385,Kalach-na-Donu,RU,43.52,48.69,4.0,86,8.0,75
386,Hualmay,PE,-77.61,-11.1,16.02,87,1.27,73
387,Khani,GE,42.96,41.96,19.0,37,8.2,0
388,Marsabit,KE,37.99,2.34,25.31,67,10.34,98
389,Abu Zabad,SD,29.25,12.35,25.95,18,7.5,44
390,Borovoy,RU,52.89,63.23,-9.13,92,3.05,100
391,Yaan,NG,8.57,7.38,24.77,87,2.07,100
392,Taoudenni,ML,-3.98,22.68,18.33,29,4.39,100
393,Ust-Kuyga,RU,135.55,70.0,-28.91,99,2.37,35
394,Muros,ES,-9.06,42.77,12.22,93,0.5,75
395,Hanyang,CN,105.51,32.14,20.0,52,1.97,30
396,Forio,IT,13.86,40.73,12.0,93,1.5,20
397,Barkhan,PK,69.52,29.9,17.39,23,1.69,0
398,Sosva,RU,61.86,59.17,-8.89,76,0.72,95
399,Kiunga,PG,141.3,-6.12,32.79,48,1.42,65
400,Ceska Lipa,CZ,14.54,50.69,1.11,92,2.1,75
401,Marsh Harbour,BS,-77.06,26.54,23.4,69,6.92,69
402,Ukiah,US,-123.21,39.15,13.89,57,1.14,1
403,Shahrud,IR,54.97,36.42,10.48,18,1.93,0
404,Abnub,EG,31.15,27.27,17.0,72,4.1,0
405,Mackay,CA,-115.58,53.65,-12.0,85,4.1,90
406,Bilibino,RU,166.44,68.06,-16.22,54,1.63,0
407,Inirida,CO,-67.92,3.87,22.87,93,0.81,42
408,Chabahar,IR,60.65,25.29,25.0,57,3.1,75
409,Provideniya,RU,-173.23,64.42,1.09,98,1.88,100
410,Rybnaya Sloboda,RU,50.14,55.46,-1.0,86,5.0,90
411,Gursarai,IN,79.18,25.62,29.37,25,3.37,0
412,Chiang Mai,TH,98.99,18.79,31.67,58,2.6,40
413,Watertown,US,-97.12,44.9,0.56,92,4.1,90
414,Terrace,CA,-128.61,54.52,5.0,86,6.7,75
415,Fare,PF,-151.02,-16.7,25.56,83,6.31,100
416,Atar,MR,-13.05,20.52,21.88,21,4.01,100
417,Tommot,RU,126.27,58.97,-6.26,95,0.58,100
418,Hargeysa,SO,44.06,9.56,18.0,93,3.1,40
419,Quelimane,MZ,36.89,-17.88,29.0,70,4.6,75
420,Kenitra,MA,-6.57,34.26,12.78,87,3.6,75
421,Navashino,RU,42.19,55.54,1.85,85,5.18,74
422,Walvis Bay,NA,14.51,-22.95,13.89,93,3.1,90
423,Novikovo,RU,37.89,51.15,5.98,93,4.8,45
424,Cody,US,-109.06,44.53,6.0,52,2.6,1
425,Calvinia,ZA,19.78,-31.47,14.0,47,0.5,100
426,Carutapera,BR,-46.02,-1.2,27.24,81,6.13,74
427,Katete,UG,29.75,-0.78,19.77,74,1.64,77
428,Mezen,RU,44.24,65.85,-8.3,93,4.05,100
429,Dourbali,TD,15.86,11.81,27.93,22,2.95,84
